Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Phosphorous,Potassium,Fertilizer Name
33,76,57,Sandy,Pulses,45,75,57,14-35-14
25,79,26,Black,Groundnut,37,81,73,14-35-14
30,62,39,Sandy,Pulses,15,21,47,DAP
27,32,55,Red,Sugarcane,62,65,52,20-20
38,60,29,Clay,Groundnut,28,76,99,14-35-14
31,35,20,Sandy,Maize,95,81,40,17-17-17
31,76,33,Sandy,Pulses,68,33,30,17-17-17
35,53,36,Clay,Cotton,15,96,85,DAP
38,73,50,Red,Pulses,12,54,93,DAP
31,80,39,Loamy,Rice,63,85,93,17-17-17
35,43,41,Sandy,Cotton,95,57,13,20-20
40,39,16,Red,Pulses,66,88,53,20-20
25,48,30,Black,Sugarcane,5,42,26,DAP
33,39,19,Sandy,Pulses,2,13,10,DAP
21,47,40,Red,Cotton,34,49,15,14-35-14
36,48,57,Black,Cotton,79,61,29,17-17-17
30,42,37,Clay,Rice,0,40,19,Urea
34,50,32,Red,Wheat,77,58,94,17-17-17
37,74,35,Sandy,Sugarcane,19,6,16,DAP
20,41,15,Sandy,Maize,48,32,12,17-17-17
34,34,59,Red,Groundnut,40,51,35,20-20
26,49,18,Sandy,Rice,27,89,48,14-35-14
22,53,62,Red,Wheat,91,92,32,14-35-14
33,74,44,Clay,Maize,13,80,0,Urea
38,63,55,Loamy,Sugarcane,42,2,18,10-26-26
25,66,46,Black,Rice,75,1,60,DAP
33,46,29,Loamy,Rice,71,4,5,DAP
31,75,29,Sandy,Groundnut,21,97,52,17-17-17
30,56,37,Sandy,Sugarcane,54,27,53,20-20
28,59,68,Sandy,Cotton,58,28,87,20-20
30,67,10,Loamy,Wheat,49,73,35,14-35-14
29,68,62,Loamy,Maize,46,5,68,10-26-26
20,57,17,Loamy,Wheat,81,93,59,14-35-14
24,40,21,Black,Rice,47,21,3,28-28
28,77,61,Clay,Cotton,22,99,89,14-35-14
26,40,24,Clay,Wheat,49,23,33,14-35-14
39,49,51,Clay,Maize,24,2,67,10-26-26
22,33,35,Clay,Rice,84,82,99,17-17-17
31,71,28,Sandy,Sugarcane,94,69,39,17-17-17
26,80,30,Clay,Cotton,7,56,19,DAP
39,38,27,Red,Maize,94,74,83,17-17-17
35,35,48,Loamy,Cotton,14,39,89,DAP
39,58,11,Sandy,Rice,87,10,2,DAP
22,65,53,Clay,Maize,18,97,83,Urea
28,68,46,Loamy,Rice,15,66,54,Urea
30,72,70,Clay,Rice,34,98,26,14-35-14
39,53,64,Sandy,Wheat,84,43,51,14-35-14
29,44,46,Clay,Sugarcane,43,98,58,14-35-14
34,51,50,Loamy,Wheat,43,93,41,20-20
26,41,60,Sandy,Sugarcane,9,73,59,DAP
33,31,19,Clay,Pulses,64,58,87,14-35-14
40,46,33,Red,Cotton,74,61,4,28-28
34,41,46,Red,Groundnut,29,24,3,28-28
22,47,39,Loamy,Cotton,78,73,98,20-20
27,76,29,Black,Pulses,70,84,35,17-17-17
31,76,60,Loamy,Cotton,34,88,55,14-35-14
36,79,60,Clay,Pulses,45,55,42,20-20
40,68,58,Clay,Cotton,62,37,14,17-17-17
20,41,61,Black,Maize,20,91,76,17-17-17
30,51,29,Clay,Cotton,63,79,86,17-17-17
28,38,31,Clay,Maize,64,68,15,17-17-17
27,75,55,Red,Rice,33,70,100,14-35-14
38,47,33,Loamy,Rice,90,19,69,20-20
37,52,38,Clay,Pulses,57,86,44,17-17-17
30,30,17,Clay,Wheat,74,17,65,14-35-14
26,64,28,Clay,Sugarcane,31,24,92,20-20
34,59,29,Clay,Cotton,5,16,3,DAP
34,34,49,Red,Pulses,57,98,90,20-20
20,51,54,Loamy,Maize,45,32,57,17-17-17
31,76,36,Sandy,Pulses,89,96,36,17-17-17
37,71,69,Sandy,Cotton,11,73,79,DAP
36,39,31,Red,Sugarcane,4,31,41,DAP
36,79,23,Sandy,Wheat,75,37,1,28-28
33,43,26,Sandy,Cotton,48,84,13,14-35-14
21,38,43,Sandy,Pulses,5,0,70,DAP
40,73,45,Loamy,Groundnut,0,69,15,DAP
22,68,17,Loamy,Rice,7,61,69,Urea
24,39,70,Sandy,Pulses,93,75,1,28-28
24,79,27,Sandy,Groundnut,27,100,21,14-35-14
36,38,33,Sandy,Rice,24,94,60,14-35-14
25,34,42,Sandy,Maize,71,55,59,20-20
25,58,33,Sandy,Sugarcane,30,75,43,14-35-14
25,43,28,Clay,Maize,7,25,84,Urea
27,41,45,Clay,Pulses,10,75,99,DAP
33,54,46,Clay,Groundnut,58,88,43,20-20
22,63,46,Sandy,Groundnut,86,40,12,20-20
28,79,31,Red,Cotton,88,34,92,17-17-17
32,36,61,Clay,Sugarcane,64,96,7,28-28
33,39,15,Red,Groundnut,100,66,29,20-20
32,66,50,Black,Sugarcane,18,81,61,DAP
32,80,20,Sandy,Maize,65,82,84,20-20
37,46,14,Sandy,Sugarcane,28,70,81,20-20
29,58,30,Loamy,Sugarcane,52,81,66,14-35-14
23,57,27,Red,Maize,25,86,84,14-35-14
34,57,12,Black,Wheat,51,38,27,14-35-14
36,40,40,Loamy,Maize,6,95,20,Urea
26,80,27,Red,Groundnut,45,58,73,17-17-17
26,64,30,Clay,Sugarcane,26,42,79,14-35-14
27,34,37,Sandy,Cotton,54,69,30,14-35-14
36,63,57,Loamy,Rice,46,56,81,14-35-14
23,42,26,Clay,Wheat,29,59,92,20-20
39,80,12,Black,Cotton,2,30,59,DAP
30,30,68,Red,Rice,16,68,85,Urea
34,52,69,Black,Maize,86,87,27,14-35-14
38,70,39,Clay,Pulses,65,49,22,14-35-14
31,78,19,Loamy,Pulses,51,12,88,10-26-26
36,78,67,Loamy,Maize,88,59,59,17-17-17
24,61,18,Sandy,Rice,28,83,60,20-20
33,45,23,Loamy,Maize,17,56,95,Urea
39,59,15,Black,Pulses,23,22,48,20-20
35,65,56,Black,Wheat,34,84,94,20-20
23,32,26,Clay,Cotton,8,90,11,DAP
34,53,20,Sandy,Sugarcane,29,42,75,14-35-14
36,47,41,Sandy,Rice,29,3,75,DAP
27,32,14,Red,Wheat,79,39,64,14-35-14
27,56,50,Loamy,Groundnut,53,20,57,17-17-17
39,59,30,Black,Rice,78,42,40,20-20
23,38,60,Sandy,Groundnut,66,8,60,10-26-26
27,39,43,Sandy,Sugarcane,64,34,94,20-20
37,36,15,Clay,Cotton,42,61,55,17-17-17
22,47,45,Red,Pulses,83,5,18,10-26-26
26,80,11,Red,Groundnut,34,44,65,20-20
33,32,39,Black,Cotton,77,44,43,17-17-17
39,79,23,Loamy,Wheat,40,93,9,28-28
36,58,29,Red,Maize,10,68,13,Urea
28,65,60,Clay,Wheat,0,23,87,Urea
38,30,37,Clay,Groundnut,91,53,33,20-20
38,32,19,Black,Maize,67,20,95,17-17-17
20,41,42,Clay,Cotton,42,36,28,17-17-17
33,42,26,Sandy,Sugarcane,15,72,26,DAP
31,72,22,Black,Wheat,87,29,64,14-35-14
24,40,17,Sandy,Sugarcane,61,71,30,14-35-14
28,68,22,Loamy,Pulses,96,85,1,28-28
23,32,28,Loamy,Sugarcane,80,27,14,20-20
25,47,38,Loamy,Sugarcane,32,77,55,14-35-14
32,39,34,Clay,Sugarcane,54,84,40,14-35-14
38,65,28,Sandy,Maize,47,4,62,10-26-26
22,53,67,Loamy,Groundnut,70,100,8,28-28
31,64,12,Loamy,Maize,21,14,38,10-26-26
34,39,30,Sandy,Cotton,19,3,13,DAP
24,51,70,Loamy,Cotton,28,42,0,28-28
39,77,50,Red,Wheat,13,93,57,Urea
36,48,37,Clay,Sugarcane,4,5,56,DAP
35,69,44,Clay,Rice,82,73,97,17-17-17
32,60,50,Black,Cotton,29,45,5,28-28
36,31,45,Black,Rice,13,24,32,Urea
33,39,65,Clay,Pulses,75,18,97,14-35-14
38,54,53,Loamy,Cotton,18,10,46,DAP
34,50,37,Sandy,Cotton,39,88,38,20-20
34,36,55,Black,Maize,100,100,53,20-20
40,49,44,Red,Groundnut,62,21,50,17-17-17
26,39,25,Sandy,Rice,43,52,90,20-20
35,37,27,Black,Maize,31,42,41,20-20
29,34,39,Sandy,Sugarcane,45,83,7,28-28
35,77,25,Sandy,Wheat,13,57,87,Urea
26,56,34,Red,Rice,16,41,9,Urea
22,60,17,Loamy,Groundnut,0,51,71,DAP
29,73,19,Clay,Rice,96,46,7,28-28
32,32,29,Sandy,Groundnut,75,44,95,14-35-14
28,48,50,Sandy,Sugarcane,46,14,57,10-26-26
28,64,58,Sandy,Cotton,76,40,71,20-20
20,56,69,Red,Pulses,62,63,53,14-35-14
23,77,23,Clay,Cotton,45,4,1,10-26-26
34,78,52,Sandy,Cotton,14,29,2,DAP
39,40,63,Black,Maize,22,80,76,14-35-14
20,30,68,Red,Wheat,17,27,35,Urea
36,73,35,Sandy,Sugarcane,63,71,8,28-28
37,57,20,Black,Sugarcane,41,38,8,28-28
40,67,14,Sandy,Cotton,65,37,44,17-17-17
39,80,37,Clay,Sugarcane,76,12,67,10-26-26
29,79,22,Red,Pulses,68,61,15,14-35-14
25,31,46,Black,Maize,90,72,7,28-28
25,74,41,Sandy,Pulses,6,69,93,DAP
23,78,15,Red,Wheat,4,46,8,Urea
34,68,61,Sandy,Groundnut,36,21,49,17-17-17
30,72,70,Loamy,Rice,30,63,49,20-20
40,76,27,Sandy,Sugarcane,50,94,48,20-20
39,72,18,Loamy,Pulses,25,96,39,14-35-14
40,37,43,Red,Pulses,39,1,57,10-26-26
35,35,14,Clay,Groundnut,74,86,76,14-35-14
36,32,42,Clay,Rice,2,6,33,Urea
29,71,20,Loamy,Wheat,52,44,82,20-20
26,61,55,Loamy,Rice,46,72,35,14-35-14
37,63,69,Clay,Pulses,97,33,2,28-28
37,64,36,Black,Sugarcane,79,80,44,17-17-17
24,80,69,Red,Groundnut,61,97,28,14-35-14
28,30,61,Loamy,Maize,6,68,54,Urea
25,53,11,Clay,Sugarcane,22,15,43,20-20
22,62,27,Clay,Wheat,100,69,33,14-35-14
27,59,36,Black,Wheat,53,21,3,28-28
24,50,31,Black,Wheat,45,18,46,20-20
30,60,25,Loamy,Maize,1,64,30,Urea
31,58,59,Clay,Groundnut,60,64,29,20-20
22,47,50,Black,Groundnut,35,38,30,14-35-14
25,65,49,Loamy,Sugarcane,42,51,79,20-20
23,50,24,Sandy,Groundnut,87,31,22,17-17-17
25,42,49,Loamy,Rice,86,87,5,28-28
31,33,13,Sandy,Maize,28,34,89,20-20
34,75,31,Red,Cotton,94,44,44,17-17-17
32,53,59,Red,Maize,17,3,95,Urea
35,69,29,Clay,Maize,88,82,68,17-17-17
32,37,26,Clay,Pulses,39,25,13,17-17-17
20,61,20,Sandy,Wheat,6,26,37,Urea
26,68,15,Red,Maize,28,85,81,17-17-17
32,42,13,Black,Sugarcane,20,99,72,14-35-14
34,33,10,Clay,Cotton,100,39,17,20-20
31,70,50,Black,Maize,27,44,88,17-17-17
34,36,44,Clay,Groundnut,31,27,25,20-20
39,79,21,Loamy,Maize,47,95,51,17-17-17
39,36,13,Black,Sugarcane,90,19,56,20-20
23,56,26,Clay,Maize,64,66,2,28-28
33,51,31,Red,Sugarcane,92,45,16,17-17-17
28,42,28,Black,Groundnut,51,25,26,14-35-14
34,67,28,Sandy,Groundnut,59,37,63,20-20
28,53,62,Clay,Sugarcane,43,32,14,20-20
35,72,42,Loamy,Maize,28,8,95,10-26-26
29,51,26,Black,Groundnut,34,21,90,20-20
35,74,61,Black,Sugarcane,70,75,74,20-20
28,79,48,Black,Cotton,51,23,94,17-17-17
24,63,36,Sandy,Groundnut,32,32,47,17-17-17
33,31,30,Red,Groundnut,94,26,99,20-20
25,53,68,Black,Cotton,66,82,32,20-20
29,61,32,Red,Rice,42,97,75,17-17-17
25,51,28,Loamy,Pulses,38,37,79,17-17-17
32,78,52,Red,Groundnut,13,62,72,DAP
21,58,23,Loamy,Wheat,14,60,66,Urea
37,35,28,Red,Pulses,59,31,47,17-17-17
32,39,15,Black,Groundnut,0,9,71,DAP
26,61,27,Red,Sugarcane,100,69,79,14-35-14
40,54,29,Loamy,Groundnut,13,85,3,DAP
34,79,39,Sandy,Cotton,100,6,84,10-26-26
38,34,25,Sandy,Pulses,27,91,13,20-20
32,41,62,Clay,Groundnut,20,2,29,10-26-26
30,74,16,Red,Cotton,52,43,55,17-17-17
32,38,36,Sandy,Pulses,70,2,8,10-26-26
23,54,22,Sandy,Wheat,59,61,27,14-35-14
23,79,24,Clay,Pulses,70,6,57,10-26-26
33,43,45,Loamy,Groundnut,55,100,86,14-35-14
32,41,49,Clay,Pulses,40,76,95,20-20
25,35,54,Sandy,Groundnut,66,90,44,20-20
28,57,50,Sandy,Pulses,79,58,17,14-35-14
24,60,41,Loamy,Groundnut,74,64,59,14-35-14
34,60,38,Loamy,Wheat,49,13,70,DAP
39,55,29,Loamy,Rice,61,69,89,14-35-14
35,65,53,Loamy,Maize,12,7,11,Urea
21,71,53,Black,Groundnut,85,65,15,20-20
21,76,35,Loamy,Groundnut,96,23,14,20-20
29,49,37,Clay,Pulses,21,73,76,14-35-14
34,70,45,Clay,Maize,97,90,40,17-17-17
27,68,32,Loamy,Pulses,12,57,44,DAP
35,34,20,Red,Pulses,84,84,31,17-17-17
20,63,67,Black,Pulses,68,46,3,28-28
29,40,55,Loamy,Groundnut,21,45,27,14-35-14
34,51,46,Sandy,Cotton,76,98,47,20-20
34,70,46,Black,Pulses,61,27,42,17-17-17
29,45,12,Red,Groundnut,11,19,9,DAP
30,33,68,Black,Sugarcane,99,83,16,17-17-17
31,62,56,Clay,Sugarcane,57,69,82,20-20
34,45,23,Black,Groundnut,54,32,29,14-35-14
38,70,49,Loamy,Cotton,54,87,69,14-35-14
38,58,29,Loamy,Sugarcane,32,23,25,20-20
23,54,26,Loamy,Maize,31,41,3,28-28
30,52,17,Clay,Rice,53,52,53,17-17-17
27,43,60,Red,Maize,44,36,99,20-20
22,62,17,Black,Cotton,93,68,99,14-35-14
33,32,15,Sandy,Maize,52,46,95,14-35-14
25,54,24,Black,Groundnut,14,32,42,DAP
35,47,35,Loamy,Cotton,96,22,100,20-20
38,56,33,Clay,Sugarcane,42,94,25,14-35-14
29,59,57,Black,Cotton,25,35,81,20-20
38,72,22,Red,Maize,26,60,16,20-20
22,56,17,Loamy,Wheat,70,93,48,20-20
28,78,45,Black,Wheat,0,48,63,Urea
36,40,67,Clay,Rice,98,45,9,28-28
27,65,17,Black,Cotton,40,85,75,20-20
20,67,70,Red,Wheat,36,84,96,17-17-17
36,75,16,Sandy,Pulses,44,97,18,20-20
25,61,66,Black,Cotton,10,95,58,DAP
33,40,34,Loamy,Sugarcane,88,100,12,20-20
22,78,17,Black,Wheat,8,18,97,Urea
24,68,33,Clay,Cotton,41,13,41,10-26-26
21,74,65,Loamy,Sugarcane,15,7,35,DAP
28,79,67,Sandy,Rice,92,89,53,17-17-17
20,69,13,Sandy,Sugarcane,39,54,4,28-28
33,76,26,Loamy,Sugarcane,46,55,71,20-20
29,59,16,Red,Rice,30,3,16,DAP
40,53,26,Red,Pulses,84,86,36,20-20
31,80,34,Black,Pulses,33,23,73,17-17-17
29,32,67,Black,Groundnut,51,62,29,14-35-14
36,40,48,Clay,Groundnut,31,96,63,14-35-14
25,37,30,Loamy,Cotton,86,90,85,20-20
30,30,61,Black,Groundnut,75,85,1,28-28
27,58,49,Clay,Sugarcane,93,98,62,17-17-17
28,44,24,Sandy,Cotton,24,35,84,20-20
22,58,29,Red,Wheat,8,74,25,Urea
39,46,59,Red,Cotton,88,99,89,17-17-17
29,68,30,Black,Sugarcane,43,22,89,17-17-17
34,64,45,Clay,Pulses,46,97,63,17-17-17
22,58,62,Sandy,Groundnut,75,74,66,20-20
35,67,28,Black,Wheat,42,34,78,14-35-14
37,52,38,Red,Cotton,71,75,22,17-17-17
22,70,40,Loamy,Wheat,39,7,57,DAP
22,30,31,Black,Pulses,74,5,35,10-26-26
37,51,30,Clay,Sugarcane,99,26,49,14-35-14
26,35,27,Red,Wheat,22,47,1,28-28
39,30,56,Black,Maize,29,73,4,28-28
33,72,23,Sandy,Pulses,60,45,10,20-20
23,69,18,Loamy,Cotton,66,82,22,17-17-17
28,69,55,Clay,Wheat,100,43,4,28-28
35,46,32,Black,Maize,75,61,38,20-20
30,74,31,Red,Rice,81,86,82,20-20
34,61,14,Loamy,Cotton,33,90,17,20-20
21,53,24,Black,Cotton,77,3,75,10-26-26
39,42,25,Loamy,Pulses,24,11,95,10-26-26
35,35,58,Black,Cotton,51,82,5,28-28
24,60,48,Sandy,Cotton,53,67,3,28-28
37,46,11,Sandy,Sugarcane,4,8,97,DAP
27,70,69,Red,Wheat,51,44,49,20-20
37,52,22,Black,Wheat,44,49,22,17-17-17
21,59,62,Loamy,Wheat,79,21,41,14-35-14
35,34,14,Loamy,Groundnut,76,70,45,14-35-14
35,77,32,Black,Pulses,99,9,51,10-26-26
33,56,38,Black,Maize,23,84,83,20-20
22,37,11,Sandy,Pulses,82,55,68,20-20
21,42,48,Red,Rice,4,26,68,Urea
25,73,55,Sandy,Wheat,78,73,93,17-17-17
22,47,58,Red,Rice,93,98,87,14-35-14
31,80,24,Sandy,Groundnut,94,99,44,17-17-17
37,63,61,Black,Groundnut,28,92,71,17-17-17
30,37,47,Loamy,Rice,87,49,32,20-20
33,64,55,Red,Groundnut,31,14,87,10-26-26
36,49,68,Sandy,Cotton,97,62,23,14-35-14
36,32,12,Sandy,Sugarcane,48,35,41,20-20
21,70,46,Clay,Rice,50,20,63,17-17-17
29,37,10,Clay,Cotton,19,99,43,DAP
29,51,48,Clay,Rice,93,89,57,14-35-14
23,56,44,Black,Wheat,5,15,84,Urea
38,63,23,Clay,Wheat,0,53,41,Urea
27,37,52,Clay,Pulses,24,20,50,20-20
34,71,48,Black,Groundnut,35,70,44,17-17-17
37,80,60,Sandy,Wheat,74,4,29,DAP
21,44,67,Loamy,Wheat,27,49,20,14-35-14
39,59,51,Loamy,Cotton,90,2,72,10-26-26
32,74,13,Red,Groundnut,19,50,80,DAP
36,40,68,Red,Groundnut,1,7,16,DAP
39,51,57,Loamy,Cotton,85,52,9,28-28
33,54,20,Sandy,Pulses,54,37,13,14-35-14
26,60,10,Clay,Sugarcane,95,43,40,17-17-17
33,41,60,Sandy,Maize,44,97,2,28-28
33,34,30,Loamy,Sugarcane,96,77,86,17-17-17
22,33,52,Red,Maize,47,43,80,17-17-17
36,71,55,Loamy,Wheat,59,13,57,DAP
28,36,48,Red,Maize,17,20,89,Urea
38,35,56,Loamy,Pulses,4,77,78,DAP
29,37,67,Sandy,Cotton,11,85,9,DAP
27,80,22,Sandy,Wheat,100,73,47,20-20
38,68,39,Clay,Cotton,2,27,33,DAP
34,36,40,Sandy,Cotton,86,29,37,17-17-17
35,51,56,Black,Groundnut,70,91,92,17-17-17
24,34,43,Black,Pulses,34,46,77,17-17-17
20,66,17,Red,Cotton,13,33,45,DAP
40,79,39,Black,Pulses,70,90,2,28-28
40,35,12,Black,Pulses,66,79,23,17-17-17
27,54,66,Sandy,Maize,75,81,42,20-20
37,72,60,Loamy,Pulses,29,95,63,14-35-14
32,75,48,Loamy,Rice,62,58,22,20-20
24,64,45,Clay,Pulses,1,63,45,DAP
22,78,28,Sandy,Groundnut,7,11,39,DAP
21,61,20,Red,Maize,43,21,90,20-20
21,72,14,Sandy,Groundnut,57,93,65,20-20
40,56,57,Loamy,Cotton,78,41,36,20-20
30,72,60,Sandy,Rice,50,87,23,20-20
22,40,41,Black,Cotton,23,8,38,10-26-26
22,50,66,Sandy,Sugarcane,20,17,57,14-35-14
35,69,25,Clay,Sugarcane,79,89,5,28-28
21,79,43,Sandy,Rice,54,86,5,28-28
32,72,56,Sandy,Groundnut,18,98,68,DAP
26,47,33,Red,Groundnut,29,80,71,20-20
30,71,16,Red,Rice,45,24,44,20-20
38,57,59,Clay,Rice,85,31,79,14-35-14
34,79,23,Sandy,Rice,80,10,42,DAP
20,71,39,Clay,Groundnut,69,83,25,14-35-14
33,66,15,Black,Maize,99,1,93,10-26-26
25,73,40,Sandy,Groundnut,35,71,41,20-20
